4D,442,TLV,1590,CAI,1128,,0,E70
4U,2548,TLV,1590,CGN,344,,0,319 320
6H,2954,TLV,1590,ETH,1594,,0,320
6H,2954,TLV,1590,FCO,1555,,0,320
6H,2954,TLV,1590,NCE,1354,,0,320
6H,2954,TLV,1590,SXF,337,,0,320
6H,2954,TLV,1590,TBS,3973,,0,320
A3,96,TLV,1590,ATH,3941,,0,320
A3,96,TLV,1590,HER,1452,,0,320
A9,2538,TLV,1590,TBS,3973,,0,737
AA,24,TLV,1590,PHL,3752,,0,332
AB,214,TLV,1590,DUS,345,,0,321 738
AB,214,TLV,1590,MUC,346,,0,320
AB,214,TLV,1590,TXL,351,,0,320 321 738
AC,330,TLV,1590,YUL,146,,0,763
AC,330,TLV,1590,YYZ,193,,0,763
AF,137,TLV,1590,CDG,1382,,0,320
AF,137,TLV,1590,MRS,1353,,0,320
AF,137,TLV,1590,NCE,1354,,0,320
AY,2350,TLV,1590,HEL,421,,0,320
AZ,596,TLV,1590,FCO,1555,,0,320 32S 321
B2,1478,TLV,1590,MSQ,2954,,0,733
BA,1355,TLV,1590,LHR,507,,0,321 777
BT,333,TLV,1590,RIX,3953,,0,73C 735
CA,751,TLV,1590,PEK,3364,Y,0,763
CY,1942,TLV,1590,LCA,1197,,0,320
DL,2009,TLV,1590,JFK,3797,,0,744
DY,3737,TLV,1590,ARN,737,,0,73H
DY,3737,TLV,1590,CPH,609,,0,73H
ET,2220,TLV,1590,ADD,1107,,0,763
FB,1548,TLV,1590,SOF,1194,,0,319
HG,3661,TLV,1590,VIE,1613,,0,321 320
HV,5039,TLV,1590,AMS,580,,0,73H
HY,5281,TLV,1590,TAS,2983,,0,764
IB,2822,TLV,1590,BCN,1218,,0,738
IB,2822,TLV,1590,MAD,1229,,0,319
IG,3463,TLV,1590,MXP,1524,Y,0,320 737
IG,3463,TLV,1590,NAP,1561,,0,737
IZ,231,TLV,1590,AMM,2170,,0,AT7
IZ,231,TLV,1590,AMS,580,,0,753
IZ,231,TLV,1590,BCN,1218,,0,753
IZ,231,TLV,1590,CDG,1382,,0,753
IZ,231,TLV,1590,ETH,1594,,0,E95 753 AT7 E90
IZ,231,TLV,1590,LCA,1197,,0,AT7
IZ,231,TLV,1590,TBS,3973,,0,E95
J2,197,TLV,1590,GYD,2922,,0,320
JU,19582,TLV,1590,BEG,1739,,0,319
KE,3163,TLV,1590,ICN,3930,,0,772
KL,3090,TLV,1590,AMS,580,,0,737
LH,3320,TLV,1590,FRA,340,,0,321
LH,3320,TLV,1590,MUC,346,,0,321
LH,3320,TLV,1590,TXL,351,,0,320
LO,3210,TLV,1590,WAW,679,,0,734 E95
LX,4559,TLV,1590,GVA,1665,Y,0,738
LX,4559,TLV,1590,ZRH,1678,,0,333 343 32A
LY,2150,TLV,1590,AMS,580,,0,738 739 763
LY,2150,TLV,1590,ATH,3941,,0,738
LY,2150,TLV,1590,BCN,1218,,0,763 744 738
LY,2150,TLV,1590,BKK,3885,,0,763 744
LY,2150,TLV,1590,BOM,2997,,0,763
LY,2150,TLV,1590,BRU,302,,0,73G 738
LY,2150,TLV,1590,BUD,1489,,0,738
LY,2150,TLV,1590,CDG,1382,,0,738 763 739 772 744
LY,2150,TLV,1590,DME,4029,,0,739 763 738 73G 772
LY,2150,TLV,1590,EWR,3494,,0,772
LY,2150,TLV,1590,FCO,1555,,0,73G 738 739 763
LY,2150,TLV,1590,FRA,340,,0,738
LY,2150,TLV,1590,GVA,1665,,0,738
LY,2150,TLV,1590,HKG,3077,,0,772
LY,2150,TLV,1590,JFK,3797,,0,744
LY,2150,TLV,1590,JNB,813,,0,763
LY,2150,TLV,1590,KBP,2939,,0,738
LY,2150,TLV,1590,LAX,3484,,0,772
LY,2150,TLV,1590,LCA,1197,,0,738
LY,2150,TLV,1590,LED,2948,,0,739 738
LY,2150,TLV,1590,LHR,507,,0,772 763
LY,2150,TLV,1590,LTN,492,,0,738
LY,2150,TLV,1590,MAD,1229,,0,739 738
LY,2150,TLV,1590,MRS,1353,,0,738 763
LY,2150,TLV,1590,MUC,346,,0,738 73G 763
LY,2150,TLV,1590,MXP,1524,,0,738 739
LY,2150,TLV,1590,OTP,1657,,0,738 739
LY,2150,TLV,1590,PEK,3364,,0,763
LY,2150,TLV,1590,PRG,1587,,0,738
LY,2150,TLV,1590,SOF,1194,,0,738
LY,2150,TLV,1590,SXF,337,,0,738
LY,2150,TLV,1590,VCE,1551,,0,738 73G
LY,2150,TLV,1590,VIE,1613,,0,738 73G
LY,2150,TLV,1590,WAW,679,,0,738 73G
LY,2150,TLV,1590,YYZ,193,,0,763
LY,2150,TLV,1590,ZRH,1678,,0,738 73G
OK,1946,TLV,1590,PRG,1587,,0,738 320
OS,491,TLV,1590,VIE,1613,Y,0,321
PC,3926,TLV,1590,SAW,4317,,0,738
PS,5282,TLV,1590,DNK,2941,,0,734 73G
PS,5282,TLV,1590,DOK,2940,,0,734
PS,5282,TLV,1590,KBP,2939,,0,73H 738
PS,5282,TLV,1590,ODS,2947,,0,738
QS,5097,TLV,1590,PRG,1587,,0,738 320
R3,1287,TLV,1590,KRR,2960,,0,73W
R3,1287,TLV,1590,MRV,2962,,0,73W
RJ,4259,TLV,1590,AMM,2170,,0,E75 E95 320 319
RO,5179,TLV,1590,IAS,1655,,0,733
RO,5179,TLV,1590,OTP,1657,,0,310 733
SK,4319,TLV,1590,CPH,609,,0,321 320
SN,1531,TLV,1590,BRU,302,,0,320 319
SU,130,TLV,1590,LED,2948,,0,763 320
SU,130,TLV,1590,ROV,2964,,0,319
SU,130,TLV,1590,SVO,2985,,0,333 332
TG,4940,TLV,1590,BKK,3885,,0,763 744
TK,4951,TLV,1590,IST,1701,,0,738 321 320 330 332 739 319
TK,4951,TLV,1590,SAW,4317,,0,738
TO,8745,TLV,1590,ORY,1386,,0,73H
U2,2297,TLV,1590,BSL,1423,,0,320
U2,2297,TLV,1590,FCO,1555,,0,319
U2,2297,TLV,1590,GVA,1665,,0,320
U2,2297,TLV,1590,LGW,502,,0,320
U2,2297,TLV,1590,LTN,492,,0,320
U2,2297,TLV,1590,MAN,478,,0,320
U2,2297,TLV,1590,MXP,1524,,0,320
U2,2297,TLV,1590,SXF,337,,0,320
U6,5234,TLV,1590,SVX,2975,,0,320
UA,5209,TLV,1590,EWR,3494,,0,777
UN,5067,TLV,1590,DME,4029,,0,735 734
UN,5067,TLV,1590,VKO,2988,,0,738 73H 73G
US,5265,TLV,1590,PHL,3752,,0,332
VY,2439,TLV,1590,BCN,1218,,0,320
W2,18553,TLV,1590,VIN,8209,,0,320
W6,5461,TLV,1590,BUD,1489,,0,320
W6,5461,TLV,1590,CLJ,1652,,0,320
W6,5461,TLV,1590,KTW,671,,0,320
W6,5461,TLV,1590,OTP,1657,,0,320
W6,5461,TLV,1590,PRG,1587,,0,320
W6,5461,TLV,1590,VNO,3959,,0,320
W6,5461,TLV,1590,WAW,679,,0,320
WU,13757,TLV,1590,LWO,2945,,0,320
